date,close,volume,open,high,low
2014/09/19,93.89,271718000,92.7,99.7,89.95
2014/09/22,89.89,66495310,92.7,92.95,89.5
2014/09/23,87.17,38935050,88.94,90.48,86.62
2014/09/24,90.57,31966400,88.47,90.57,87.22
2014/09/25,88.92,28566180,91.09,91.5,88.5
2014/09/26,90.46,18314780,89.73,90.46,88.66
2014/09/29,88.75,25258370,89.62,89.7,88.02
2014/09/30,88.85,24380140,89,90.88,88.46
2014/10/01,86.1,23994980,88.7,88.94,86.04
2014/10/02,87.06,21452790,86.27,88.2,85.611
2014/10/03,88.1,18357110,88.1,89.94,87.65
2014/10/06,88.31,9267595,89.15,89.65,88.06
2014/10/07,87.67,12768510,87.95,89.7,87.06
2014/10/08,88.3,10251870,88,88.5,87.06
2014/10/09,88.79,21475080,88.51,90.35,88
2014/10/10,85.88,15406070,88.25,88.74,85.24
2014/10/13,85.12,14801960,86.85,86.89,84.92
2014/10/14,84.95,15544160,85.81,85.88,83.22
2014/10/15,85.6,16801790,84.04,86.49,82.81
2014/10/16,88.85,15184380,84.98,89.175,84.015
2014/10/17,87.91,17320100,90.4,90.9,87.6701
2014/10/20,88.26,9843157,88,89.5,87.86
2014/10/21,90.9,23078860,89.1,92.5,88.5
2014/10/22,91.63,20312160,92.25,93.5,91.01
2014/10/23,94.45,20528790,92.92,94.7,92.82
2014/10/24,95.76,32099050,95.07,98,94.78
2014/10/27,97.79,28203030,97,98.85,96.3
2014/10/28,99.68,31912830,99.84,100.67,98.61
2014/10/29,98.31,28595940,99.88,100,96.82
2014/10/30,98.73,15424320,98.48,99.44,97.3
2014/10/31,98.6,18048020,100.1,100.22,98.1356
2014/11/03,101.8,40515210,99.67,102.8,99.05
2014/11/04,106.07,67629030,100.425,106.359,99.51
2014/11/05,108.67,48219010,108.48,110.14,106.48
2014/11/06,111.57,33331850,109.3,111.7,107.21
2014/11/07,114.56,51267750,112.93,114.77,111.75
2014/11/10,119.15,74808230,117.27,119.45,115.2
