date,close,volume,open,high,low
2009/07/06,57.13,8886559,56.27,57.17,56.08
2009/07/07,56,11953480,57.07,57.46,55.92
2009/07/08,54.85,12089730,56.09,56.13,54.52
2009/07/09,54.68,7263583,55.11,55.34,54.4
2009/07/10,54.71,5945680,54.36,54.88,54.3
2009/07/13,55.67,8824889,54.75,55.855,54.62
2009/07/14,56.09,4569707,55.63,56.12,55.38
2009/07/15,57.28,7672103,56.54,57.31,56.3
2009/07/16,57.26,6302301,57,57.7,56.83
2009/07/17,56.66,6188083,56.93,57.26,56.46
2009/07/20,56.08,7828843,56.85,56.89,55.3599
2009/07/21,56.4,6075078,56.49,56.69,55.45
2009/07/22,55.89,7496183,56.22,56.4,55.37
2009/07/23,56.5,8862327,56.01,56.84,55.62
2009/07/24,56.41,6741586,56.57,56.76,55.715
2009/07/27,56.34,5766888,56.3,56.72,55.97
2009/07/28,55.97,7151338,56.05,56.66,55.7
2009/07/29,56.33,5395788,55.77,56.4,55.7505
2009/07/30,56.6,6716039,56.73,57.63,56.54
2009/07/31,56.75,6002975,56.65,57.295,56.48
2009/08/03,56.2,6492696,56.98,56.98,55.96
2009/08/04,59.06,27844390,58.02,59.64,57.5
2009/08/05,58.39,10092430,59.18,59.5,58.29
2009/08/06,57.83,7550220,58.61,58.81,57.69
2009/08/07,57.74,6869325,58.1,58.21,57.55
2009/08/10,57.41,8124194,57.79,57.79,56.94
2009/08/11,56.91,6785230,57.17,57.55,56.89
2009/08/12,56.68,6911248,56.78,57.55,56.34
2009/08/13,56.49,7187167,56.85,56.91,56.03
2009/08/14,56.56,6395008,56.5,57.06,56.08
2009/08/17,56.18,5760023,56.4,56.78,55.86
2009/08/18,56.24,9730639,56.22,56.7598,55.92
2009/08/19,56.45,5844922,56.22,56.71,56
2009/08/20,56.84,6063934,56.3,57.16,56.2
2009/08/21,57.49,8890087,57.07,57.73,56.8
2009/08/24,57.45,5689983,57.69,57.78,57.06
2009/08/25,57.29,5822627,57.35,57.8,57.07
2009/08/26,57.88,7396751,57.35,58.19,57.13
2009/08/27,57.76,5854206,57.59,58.1,57.5
2009/08/28,56.76,6603783,57.96,58,56.61
2009/08/31,56.67,5522401,56.56,56.982,56.38
2009/09/01,56.25,7963677,56.6,57.3,55.93
2009/09/02,56.35,8902826,55.99,56.62,55.69
2009/09/03,56.64,7820104,56.54,56.8,56
2009/09/04,57.54,8841701,56.45,57.7,56.33
2009/09/08,58.28,13030860,57.66,58.335,57.33
2009/09/09,58.04,10094450,58.34,58.34,57.86
2009/09/10,57.86,7601303,57.92,58.05,57.54
2009/09/11,58.81,8195221,58.05,58.92,57.74
2009/09/14,58.7,5948926,58.49,58.89,58.21
2009/09/15,58.29,6339479,58.74,58.74,57.91
2009/09/16,58.34,5724743,58.34,58.47,57.67
2009/09/17,58.8,7034404,58.35,58.99,58.22
2009/09/18,59.86,14645500,59.04,60,58.96
2009/09/21,59.02,7785566,59.52,59.66,58.81
2009/09/22,58.58,6801877,59.1,59.2,58.3
2009/09/23,58.47,6122309,58.69,59.08,58.34
2009/09/24,58.54,6157619,58.57,58.82,58.24
2009/09/25,58.68,6758726,58.5,59.13,58.32
2009/09/28,59.03,4085846,58.95,59.49,58.62
2009/09/29,58.51,7086305,59.1,59.31,58
2009/09/30,58.66,8898375,58.74,58.86,58.01
2009/10/01,58.46,8745810,58.7,58.99,58.27
2009/10/02,60.9,17529700,59.12,61.24,58.93
2009/10/05,60.85,7891998,60.83,61.24,60.14
2009/10/06,60.87,8128754,61.05,61.27,60.42
2009/10/07,61.17,6429949,60.85,61.38,60.45
2009/10/08,60.39,17262880,61.24,61.24,59.8
2009/10/09,60.59,6360173,60.38,60.7,59.81
2009/10/12,60.92,6178048,60.43,61.36,60.25
2009/10/13,60.6,7501911,60.88,61,60.5175
2009/10/14,61.62,8462179,60.94,61.68,60.7
2009/10/15,62.68,10518370,61.57,62.75,61.39
2009/10/16,62.29,6588377,62.47,62.68,62.11
2009/10/19,62.05,5557238,62.28,62.57,61.9
2009/10/20,61.58,8064462,62,62.05,61.12
2009/10/21,61.84,7444904,61.38,62.34,61.23
2009/10/22,61.5,5428064,61.9,61.9,60.87
2009/10/23,61.03,6505115,61.41,61.67,60.58
2009/10/26,60.47,5112964,61.14,61.5,60.21
2009/10/27,61,7262865,60.64,61.35,60.1
2009/10/28,60.99,6321897,60.88,61.52,60.75
2009/10/29,61.39,5274180,61.01,61.46,60.5705
2009/10/30,60.55,7779175,61.35,61.64,60.2089
2009/11/02,60.6,6618769,60.79,61.07,60.16
2009/11/03,60.06,5786702,60.29,60.39,59.62
2009/11/04,60.38,5552047,60.16,60.96,59.79
2009/11/05,61.23,5574421,60.44,61.41,60.42
2009/11/06,61.76,4830987,60.99,61.76,60.79
2009/11/09,62.28,6921789,61.81,62.32,61.4273
2009/11/10,62.08,7094083,62.17,62.94,61.93
2009/11/11,62.6,4714273,62.34,62.6805,62.08
2009/11/12,61.27,8474831,62.49,62.75,61.1
2009/11/13,61.94,6411100,61.63,62.13,61.345
2009/11/16,62.43,4966736,62.21,62.49,61.94
2009/11/17,62.6,4362307,62.42,62.63,62.03
2009/11/18,62.3,3952260,62.44,62.51,61.81
2009/11/19,61.88,4390365,62.1,62.1,61.35
2009/11/20,62.08,5313928,61.67,62.31,61.43
2009/11/23,62.49,5009400,62.46,62.99,62.26
2009/11/24,62.5,4139680,62.62,62.65,62.13
2009/11/25,63.19,4672568,62.53,63.27,62.49
2009/11/27,62.3,3415942,62.24,62.55,61.75
2009/11/30,62.22,7252357,62.64,62.83,62.15
2009/12/01,63.87,6887408,62.68,63.93,62.49
2009/12/02,63.65,6195801,63.5,63.74,63.17
2009/12/03,62.76,6401176,63.58,63.59,62.67
2009/12/04,63.85,8900008,63.18,64,63.08
2009/12/07,64.23,6259607,63.7,64.48,63.565
2009/12/08,63.48,6157808,64.09,64.09,63.145
2009/12/09,61.8,20221950,62.08,62.39,60.76
2009/12/10,61.84,8504769,62.15,62.63,61.67
2009/12/11,61.27,8249503,61.85,62.38,61.18
2009/12/14,60.98,7433481,61.7,61.77,60.86
2009/12/15,60.99,7656597,61.01,61.39,60.4
2009/12/16,60.68,8127254,61.18,61.69,60.62
2009/12/17,60.04,8336007,60.64,60.64,60.04
2009/12/18,59.48,18556660,59.92,59.92,58.77
2009/12/21,60.48,7972992,59.72,60.73,59.6
2009/12/22,60.63,6025955,60.57,60.79,60.25
2009/12/23,60.68,3828983,60.87,60.87,60.25
2009/12/24,60.96,1502817,60.66,60.96,60.4
2009/12/28,61.16,4364003,61.19,61.25,60.87
2009/12/29,61.1,3786980,61.29,61.59,61.1
2009/12/30,61.31,3769304,61,61.45,60.87
2009/12/31,60.8,3316277,61.25,61.44,60.76
2010/01/04,61.24,6585871,61.19,61.52,60.64
2010/01/05,61.98,8884118,61,62.1,60.9
2010/01/06,61.36,9997488,61.99,62.47,61.23
2010/01/07,60.97,10792830,61.35,61.38,60.53
2010/01/08,60.77,8674578,60.76,60.82,60.27
2010/01/11,60.7,6460976,60.68,60.81,60.1
2010/01/12,61.55,9081716,60.52,61.68,60.5
2010/01/13,62.05,7380076,61.41,62.34,61.41
2010/01/14,62.8,7211549,62.02,62.92,61.76
2010/01/15,62.29,8361153,62.61,62.91,61.82
2010/01/19,62.33,5614921,62.23,62.41,61.97
2010/01/20,61.95,5605975,62.09,62.15,61.44
2010/01/21,60.94,7120091,62.01,62.16,60.74
2010/01/22,60.39,7228937,60.75,61.24,60.31
2010/01/25,60.23,4903791,60.7,60.7,60.08
2010/01/26,60.25,5001683,60.1,60.53,59.82
2010/01/27,60.29,6145242,60.05,60.39,59.6
2010/01/28,59.74,9285835,60.3,60.5,59.5
2010/01/29,59.62,8127132,59.84,60.36,59.12
2010/02/01,60.7,7284977,59.93,60.75,59.52
2010/02/02,61.15,6296694,60.68,61.28,60.34
2010/02/03,61.29,4862961,60.92,61.4,60.56
2010/02/04,59.64,6920270,60.83,60.93,59.62
2010/02/05,59.51,7347742,59.51,59.79,58.95
2010/02/08,58.96,7042479,59.6,59.66,58.75
2010/02/09,60.05,7939437,59.29,60.48,59.29
2010/02/10,60.38,10917120,59.96,60.67,59.51
2010/02/11,61.19,14243690,60.87,61.7,60.5
2010/02/12,60.92,8566752,61.06,61.22,60.49
2010/02/16,61.31,6930727,61.03,61.45,60.5
2010/02/17,62.11,6703447,61.48,62.2,61.25
2010/02/18,62.53,6936465,61.97,62.72,61.97
2010/02/19,62.66,6416423,62.32,62.915,61.98
2010/02/22,62.41,4709493,62.69,62.87,62.1
2010/02/23,61.78,5159370,62.22,62.48,61.7
2010/02/24,62.08,6888073,61.98,62.16,61.58
2010/02/25,62.3,8074047,61.51,62.34,61.02
2010/02/26,62.47,14784730,62.5,62.59,61.91
2010/03/01,63.43,9016428,62.65,63.58,62.47
2010/03/02,63.8,9527165,63.61,64,63.42
2010/03/03,63.98,8481115,63.82,64.27,63.8
2010/03/04,64.11,7830527,64.43,64.5,63.96
2010/03/05,64.37,8448583,64.3,64.48,63.91
2010/03/08,64.15,4952840,64.27,64.46,63.8
2010/03/09,64.36,7655363,63.88,64.65,63.8
2010/03/10,64.43,6449994,64.3,64.59,64.01
2010/03/11,64.97,7535454,64.2,65,63.9
2010/03/12,65.1,6896362,64.92,65.25,64.68
2010/03/15,66.15,10467100,65.69,66.26,65.4
2010/03/16,66.07,7474500,66.25,66.3,65.8299
2010/03/17,66.57,6922245,66.15,66.58,66.02
2010/03/18,66.52,6961866,66.57,66.73,66.16
2010/03/19,66.56,10947400,66.96,66.98,66.26
2010/03/22,66.31,6762868,66.43,66.56,66.15
2010/03/23,66.86,6412788,66.39,67,66.24
2010/03/24,66.26,7661129,66.62,67,66.25
2010/03/25,66.55,6246519,66.37,67,66.35
2010/03/26,66.59,5313363,66.64,66.81,66.34
2010/03/29,66.55,6825572,66.61,66.87,66.3
2010/03/30,66.77,5733730,66.52,67,66.36
2010/03/31,66.16,8123852,66.68,66.71,66.06
2010/04/01,66.68,5074072,66.32,66.68,66.25
2010/04/05,65.98,6732559,66.68,66.68,65.83
2010/04/06,66.39,6734645,65.79,66.63,65.79
2010/04/07,65.99,8204144,66.39,66.52,65.75
2010/04/08,65.97,6565682,65.75,66.19,65.6201
2010/04/09,66.36,4757609,65.93,66.43,65.86
2010/04/12,66.32,5073991,66.35,66.67,66.26
2010/04/13,66.39,5190708,66.16,66.5,66.02
2010/04/14,66.29,5202275,66.2,66.3,65.83
2010/04/15,66.27,5968497,65.97,66.5,65.8
2010/04/16,66.14,7375475,66.01,66.65,65.96
2010/04/19,66.12,6354595,66.08,66.39,65.7
2010/04/20,65.9,6780858,66.17,66.4,65.72
2010/04/21,65.98,6496703,65.82,66.31,65.61
2010/04/22,64.76,9688627,65.75,65.79,64.5
2010/04/23,64.71,9008865,64.85,64.85,64.17
2010/04/26,65.02,8096854,64.84,65.44,64.61
2010/04/27,64.23,8615261,64.93,65.2,64.07
2010/04/28,64.75,10229590,64.28,64.82,63.6
2010/04/29,65.2,7713902,64.95,65.5,64.83
2010/04/30,65.22,8274180,65.33,65.98,65.18
2010/05/03,65.69,5807835,65.28,66,64.89
2010/05/04,65.43,8383005,65.3,65.98,65.05
2010/05/05,65.2,7658715,65.1,65.95,65.02
2010/05/06,64.7,14046150,65.16,66.2,61.91
2010/05/07,64.57,13221390,64.46,65.04,63.66
2010/05/10,66.41,10833730,65.8,66.49,65.66
2010/05/11,66.55,7240711,66.16,67,66.02
2010/05/12,66.94,13170210,67.24,67.61,66.81
